product_id,id_web,sku,price,total_sales,ca,price_zscore,premium
4213,15718,15718,58.8,0.0,0.0,0.945826616333018,False
4627,805,805,58.3,4.0,233.2,0.9278640190198484,False
5563,19821,19821,58.0,0.0,0.0,0.917086460631947,False
5561,19820,19820,58.0,0.0,0.0,0.917086460631947,False
5552,13520,13520,57.7,0.0,0.0,0.9063089022440454,False
5817,14600,14600,57.6,0.0,0.0,0.9027163827814116,False
5712,14241,14241,57.6,1.0,57.6,0.9027163827814116,False
4616,14371,14371,57.0,0.0,0.0,0.8811612660056082,False
5912,15227,15227,57.0,0.0,0.0,0.8811612660056082,False
5743,14323,14323,57.0,0.0,0.0,0.8811612660056082,False
5829,15329,15329,57.0,3.0,171.0,0.8811612660056082,False
4393,13765,13765,57.0,0.0,0.0,0.8811612660056082,False
5615,15923,15923,56.4,0.0,0.0,0.8596061492298048,False
5967,11669,11669,56.3,0.0,0.0,0.8560136297671709,False
5819,11933,11933,56.0,1.0,56.0,0.8452360713792694,False
5010,15073,15073,55.6,0.0,0.0,0.8308659935287339,False
4711,16119,16119,55.4,1.0,55.4,0.823680954603466,False
5827,15328,15328,55.0,3.0,165.0,0.8093108767529306,False
5465,16034,16034,54.8,3.0,164.39999999999998,0.8021258378276627,False
4908,14395,14395,53.2,4.0,212.8,0.7446455264255208,False
4142,11641,11641,53.0,30.0,1590.0,0.737460487500253,False
4626,807,807,52.9,0.0,0.0,0.733867968037619,False
6632,15794,15794,52.7,1.0,52.7,0.7266829291123514,False
5061,15711,15711,52.6,0.0,0.0,0.7230904096497175,False
4625,812,812,52.4,0.0,0.0,0.7159053707244496,False
4633,804,804,52.4,3.0,157.2,0.7159053707244496,False
4629,2534,2534,52.4,2.0,104.8,0.7159053707244496,False
4356,12585,12585,51.6,12.0,619.2,0.6871652150233787,False
6620,16046,16046,51.0,0.0,0.0,0.6656100982475753,False
6920,15740,15740,50.5,0.0,0.0,0.6476475009344059,False
6663,16152,16152,50.4,0.0,0.0,0.644054981471772,False
4606,15149,15149,50.1,1.0,50.1,0.6332774230838705,False
4636,2361,2361,50.0,1.0,50.0,0.6296849036212365,False
4632,2179,2179,50.0,0.0,0.0,0.6296849036212365,False
